"LoanStatus","ProsperRatingAlpha","IsBorrowerHomeowner","count"
"Chargedoff","A","False",126
"Chargedoff","A","True",200
"Chargedoff","AA","False",22
"Chargedoff","AA","True",41
"Chargedoff","B","False",271
"Chargedoff","B","True",229
"Chargedoff","C","False",369
"Chargedoff","C","True",337
"Chargedoff","D","False",836
"Chargedoff","D","True",559
"Chargedoff","E","False",655
"Chargedoff","E","True",476
"Chargedoff","HR","False",656
"Chargedoff","HR","True",559
"Completed","A","False",1319
"Completed","A","True",1884
"Completed","AA","False",460
"Completed","AA","True",1240
"Completed","B","False",1368
"Completed","B","True",1417
"Completed","C","False",1463
"Completed","C","True",1514
"Completed","D","False",2261
"Completed","D","True",1931
"Completed","E","False",1371
"Completed","E","True",1135
"Completed","HR","False",1103
"Completed","HR","True",1198
"Defaulted","A","False",34
"Defaulted","A","True",45
"Defaulted","AA","False",2
"Defaulted","AA","True",18
"Defaulted","B","False",38
"Defaulted","B","True",50
"Defaulted","C","False",57
"Defaulted","C","True",77
"Defaulted","D","False",139
"Defaulted","D","True",143
"Defaulted","E","False",97
"Defaulted","E","True",96
"Defaulted","HR","False",101
"Defaulted","HR","True",108
